num_shots,launch_velo_mean,launch_velo_std,launch_velo_inconsistency_zscore,launch_velo_inconsistency_percentile,launch_velo_consistency_percentile,launch_angle_mean,launch_angle_std,launch_angle_inconsistency_zscore,launch_angle_inconsistency_percentile,launch_angle_consistency_percentile,launch_distance_inconsistency_zscore,launch_distance_inconsistency_percentile,launch_distance_consistency_percentile,dist_from_sweet_mean,dist_from_sweet_std,shooting_percentage,shooting_percentage_zscore,shooting_percentage_percentile,command,command_zscore,command_percentile,inconsistency_score,inconsistency_score_percentile,consistency_score_percentile
103,14.47795731,0.306197546,1.240109655,66.73155187,33.26844813,48.96950021,2.126015073,1.918528901,65.72249253,34.27750747,0.940354629,54.50998204,45.49001796,0.43068264,0.240366287,0.796116505,0.22656465,71.17145151,0.66969481,-0.966003443,49.0449624,3.158638556,80.37759608,19.62240392
406,14.64254247,0.27339415,0.246693647,51.40882514,48.59117486,51.29533658,1.573515232,-0.075154146,33.21988001,66.78011999,-0.62154903,30.54219421,69.45780579,0.440676778,0.248109486,0.753694581,-0.306220955,61.98962688,0.664133395,-1.190398239,45.35571362,0.171539501,49.45717451,50.54282549
890,14.9144442,0.252549079,-0.384577208,41.67192668,58.32807332,50.33258895,1.567781338,-0.095844769,32.88256496,67.11743504,0.152386605,42.41842292,57.58157708,0.347850521,0.189089246,0.892134831,1.432478431,91.9537113,0.716372082,0.917354856,80.00903753,-0.480421977,42.70851189,57.29148811
115,15.10119009,0.232472185,-0.992584638,32.29384981,67.70615019,50.83941254,1.178999735,-1.498754297,10.01121394,89.98878606,-0.007582382,39.9636603,60.0363397,0.351818503,0.189855475,0.895652174,1.476653453,92.71500685,0.714399693,0.837771882,78.70062309,-2.491338935,21.89286469,78.10713531
526,14.76879841,0.324199844,1.785290168,75.14056878,24.85943122,51.10440004,1.540828574,-0.193103204,31.29698032,68.70301968,0.971482187,54.98764191,45.01235809,0.40241717,0.234831693,0.771863118,-0.078038592,65.922035,0.68216344,-0.462912797,57.3162173,1.592186964,64.16275262,35.83724738
144,14.68130416,0.25691903,-0.252237891,43.71316537,56.28683463,47.46898091,1.535090496,-0.213808925,30.95941912,69.04058088,-0.467966861,32.89894958,67.10105042,0.409462214,0.239434484,0.694444444,-1.050355529,49.16549445,0.678274574,-0.619822772,54.73647862,-0.466046816,42.8573138,57.1426862
195,14.75618256,0.304158371,1.178355429,65.77903739,34.22096261,48.22259544,1.811749877,0.784510124,47.23481319,52.76518681,1.51107528,63.26782788,36.73217212,0.386630264,0.228986907,0.805128205,0.339744435,73.12194891,0.68996312,-0.148207364,62.49025278,1.962865553,67.99976573,32.00023427
175,14.76046659,0.243326437,-0.663875132,37.36395729,62.63604271,47.15708371,1.687981093,0.337893297,39.95370915,60.04629085,-0.327647618,35.05218217,64.94781783,0.459411788,0.256297061,0.605714286,-2.16473572,29.96068975,0.655278863,-1.547665389,39.48192588,-0.325981835,44.3071714,55.6928286
296,15.16948725,0.257478157,-0.235305324,43.97433802,56.02566198,51.39664978,1.398968091,-0.705003514,22.95157283,77.04842717,0.263198197,44.11885351,55.88114649,0.337535595,0.185849707,0.858108108,1.005129861,84.58894845,0.721855629,1.138607798,83.64663145,-0.940308838,37.9480753,62.0519247
401,15.03215817,0.269835276,0.1389169,49.74644641,50.25355359,50.73111169,1.50234904,-0.331955721,29.03329575,70.96670425,0.250538166,43.92458227,56.07541773,0.393633304,0.234788336,0.822942643,0.563479605,76.97771579,0.685712595,-0.319709719,59.67060248,-0.193038821,45.68330723,54.31669277
685,14.35702569,0.29036374,0.760599662,59.33545545,40.66454455,50.09344886,1.684543682,0.325489477,39.75149218,60.24850782,0.153072898,42.42895427,57.57104573,0.417814411,0.247101091,0.728467153,-0.623057377,56.52938839,0.673212486,-0.82407047,51.37846593,1.086089139,58.92397151,41.07602849
